frame,shepherd,frame_bboxes,min_distance,max_distance,avg_distance,furthest_sheep_distance
0,dog,[],,,,
1,dog,[],,,,
2,dog,[],,,,
3,dog,[],,,,
4,dog,[],,,,
5,dog,[],,,,
6,dog,[],,,,
7,dog,[],,,,
8,dog,[],,,,
9,dog,[],,,,
10,dog,[],,,,
11,dog,[],,,,
12,dog,[],,,,
13,dog,[],,,,
14,dog,[],,,,
15,dog,[],,,,
16,dog,[],,,,
17,dog,[],,,,
18,dog,[],,,,
19,dog,[],,,,
20,dog,[],,,,
21,dog,[],,,,
22,dog,[],,,,
23,dog,[],,,,
24,dog,[],,,,
25,dog,[],,,,
26,dog,[],,,,
27,dog,[],,,,
28,dog,[],,,,
29,dog,[],,,,
30,dog,[],,,,
31,dog,[],,,,
32,dog,[],,,,
33,dog,[],,,,
34,dog,[],,,,
35,dog,[],,,,
36,dog,[],,,,
37,dog,[],,,,
38,dog,[],,,,
39,dog,[],,,,
40,dog,[],,,,
41,dog,[],,,,
42,dog,[],,,,
43,dog,[],,,,
44,dog,[],,,,
45,dog,[],,,,
46,dog,[],,,,
47,dog,[],,,,
48,dog,[],,,,
49,dog,[],,,,
50,dog,[],,,,
51,dog,[],,,,
52,dog,[],,,,
53,dog,[],,,,
54,dog,[],,,,
55,dog,[],,,,
56,dog,[],,,,
57,dog,[],,,,
58,dog,[],,,,
59,dog,[],,,,
60,dog,[],,,,
61,dog,[],,,,
62,dog,[],,,,
63,dog,[],,,,
64,dog,[],,,,
65,dog,[],,,,
66,dog,[],,,,
67,dog,[],,,,
68,dog,[],,,,
69,dog,[],,,,
70,dog,[],,,,
71,dog,[],,,,
72,dog,[],,,,
73,dog,[],,,,
74,dog,[],,,,
75,dog,[],,,,
76,dog,[],,,,
77,dog,[],,,,
78,dog,[],,,,
79,dog,[],,,,
80,dog,[],,,,
81,dog,[],,,,
82,dog,[],,,,
83,dog,[],,,,
84,dog,[],,,,
85,dog,[],,,,
86,dog,[],,,,
87,dog,[],,,,
88,dog,[],,,,
89,dog,[],,,,
90,dog,[],,,,
91,dog,[],,,,
92,dog,[],,,,
93,dog,[],,,,
94,dog,[],,,,
95,dog,[],,,,
96,dog,[],,,,
97,dog,[],,,,
98,dog,[],,,,
99,dog,[],,,,
100,dog,[],,,,
101,dog,[],,,,
102,dog,[],,,,
103,dog,[],,,,
104,dog,[],,,,
105,dog,[],,,,
106,dog,[],,,,
107,dog,[],,,,
108,dog,[],,,,
109,dog,[],,,,
110,dog,[],,,,
111,dog,[],,,,
112,dog,[],,,,
113,dog,[],,,,
114,dog,[],,,,
115,dog,[],,,,
116,dog,[],,,,
117,dog,[],,,,
118,dog,[],,,,
119,dog,[],,,,
120,dog,[],,,,
121,dog,[],,,,
122,dog,[],,,,
123,dog,[],,,,
124,dog,[],,,,
125,dog,[],,,,
126,dog,[],,,,
127,dog,[],,,,
128,dog,[],,,,
129,dog,[],,,,
130,dog,[],,,,
131,dog,[],,,,
132,dog,[],,,,
133,dog,[],,,,
134,dog,[],,,,
135,dog,[],,,,
136,dog,[],,,,
137,dog,[],,,,
138,dog,[],,,,
139,dog,[],,,,
140,dog,[],,,,
141,dog,[],,,,
142,dog,[],,,,
143,dog,[],,,,
144,dog,[],,,,
145,dog,[],,,,
146,dog,[],,,,
147,dog,[],,,,
148,dog,[],,,,
149,dog,[],,,,
150,dog,[],,,,
151,dog,[],,,,
152,dog,[],,,,
153,dog,[],,,,
154,dog,[],,,,
155,dog,[],,,,
156,dog,[],,,,
157,dog,[],,,,
158,dog,[],,,,
159,dog,[],,,,
160,dog,[],,,,
161,dog,[],,,,
162,dog,[],,,,
163,dog,[],,,,
164,dog,[],,,,
165,dog,[],,,,
166,dog,[],,,,
167,dog,[],,,,
168,dog,[],,,,
169,dog,[],,,,
170,dog,[],,,,
171,dog,[],,,,
172,dog,[],,,,
173,dog,[],,,,
174,dog,[],,,,
175,dog,[],,,,
176,dog,[],,,,
177,dog,[],,,,
178,dog,[],,,,
179,dog,[],,,,
180,dog,[],,,,
181,dog,[],,,,
182,dog,[],,,,
183,dog,[],,,,
184,dog,[],,,,
185,dog,[],,,,
186,dog,[],,,,
187,dog,[],,,,
188,dog,[],,,,
189,dog,[],,,,
190,dog,"[(3, 'sheep', [1188, 701, 1235, 734])]",,,,0
191,dog,[],,,,
192,dog,[],,,,
193,dog,[],,,,
194,dog,[],,,,
195,dog,[],,,,
196,dog,[],,,,
197,dog,[],,,,
198,dog,[],,,,
199,dog,"[(3, 'sheep', [1109, 664, 1141, 695])]",,,,0
200,dog,"[(3, 'sheep', [1098, 661, 1131, 688])]",,,,0
201,dog,"[(3, 'sheep', [1089, 657, 1121, 683])]",,,,0
202,dog,[],,,,
203,dog,[],,,,
204,dog,[],,,,
205,dog,[],,,,
206,dog,[],,,,
207,dog,[],,,,
208,dog,[],,,,
209,dog,"[(3, 'sheep', [1019, 623, 1047, 653])]",,,,0
210,dog,"[(3, 'sheep', [1010, 621, 1037, 647])]",,,,0
211,dog,"[(3, 'sheep', [1001, 616, 1030, 643])]",,,,0
212,dog,"[(3, 'sheep', [993, 613, 1019, 637])]",,,,0
213,dog,"[(3, 'sheep', [983, 609, 1008, 633])]",,,,0
214,dog,"[(3, 'sheep', [974, 604, 998, 630])]",,,,0
215,dog,"[(3, 'sheep', [966, 600, 989, 629])]",,,,0
216,dog,[],,,,
217,dog,"[(3, 'sheep', [946, 593, 974, 621])]",,,,0
218,dog,"[(3, 'sheep', [936, 591, 963, 614])]",,,,0
219,dog,"[(3, 'sheep', [926, 589, 952, 611])]",,,,0
220,dog,"[(3, 'sheep', [917, 586, 943, 609])]",,,,0
221,dog,"[(3, 'sheep', [908, 583, 934, 606])]",,,,0
222,dog,"[(3, 'sheep', [900, 579, 925, 603])]",,,,0
223,dog,[],,,,
224,dog,[],,,,
225,dog,[],,,,
226,dog,[],,,,
227,dog,[],,,,
228,dog,[],,,,
229,dog,[],,,,
230,dog,[],,,,
231,dog,[],,,,
232,dog,[],,,,
233,dog,[],,,,
234,dog,[],,,,
235,dog,[],,,,
236,dog,[],,,,
237,dog,[],,,,
238,dog,[],,,,
239,dog,[],,,,
240,dog,[],,,,
241,dog,[],,,,
242,dog,[],,,,
243,dog,[],,,,
244,dog,[],,,,
245,dog,[],,,,
246,dog,[],,,,
247,dog,[],,,,
248,dog,[],,,,
249,dog,[],,,,
250,dog,[],,,,
251,dog,[],,,,
252,dog,[],,,,
253,dog,[],,,,
254,dog,[],,,,
255,dog,[],,,,
256,dog,[],,,,
257,dog,[],,,,
258,dog,[],,,,
259,dog,[],,,,
260,dog,[],,,,
261,dog,[],,,,
262,dog,[],,,,
263,dog,[],,,,
264,dog,[],,,,
265,dog,[],,,,
266,dog,[],,,,
267,dog,[],,,,
268,dog,[],,,,
269,dog,[],,,,
270,dog,[],,,,
271,dog,[],,,,
272,dog,[],,,,
273,dog,[],,,,
274,dog,[],,,,
275,dog,[],,,,
276,dog,[],,,,
277,dog,[],,,,
278,dog,[],,,,
279,dog,[],,,,
280,dog,[],,,,
281,dog,[],,,,
282,dog,[],,,,
283,dog,[],,,,
284,dog,[],,,,
285,dog,[],,,,
286,dog,[],,,,
287,dog,[],,,,
288,dog,[],,,,
289,dog,[],,,,
290,dog,[],,,,
291,dog,[],,,,
292,dog,[],,,,
293,dog,[],,,,
294,dog,[],,,,
295,dog,[],,,,
296,dog,[],,,,
297,dog,"[(5, 'sheep', [1795, 513, 1843, 574])]",,,,0
298,dog,[],,,,
299,dog,[],,,,
300,dog,[],,,,
301,dog,[],,,,
302,dog,[],,,,
303,dog,"[(5, 'sheep', [1793, 513, 1840, 571])]",,,,0
304,dog,"[(5, 'sheep', [1797, 512, 1840, 569])]",,,,0
305,dog,[],,,,
306,dog,[],,,,
307,dog,"[(5, 'sheep', [1807, 511, 1839, 569])]",,,,0
308,dog,"[(5, 'sheep', [1808, 511, 1839, 570])]",,,,0
309,dog,[],,,,
310,dog,[],,,,
311,dog,"[(5, 'sheep', [1803, 509, 1840, 570])]",,,,0
312,dog,[],,,,
313,dog,[],,,,
314,dog,[],,,,
315,dog,[],,,,
316,dog,[],,,,
317,dog,[],,,,
318,dog,"[(5, 'sheep', [1814, 512, 1841, 568])]",,,,0
319,dog,"[(5, 'sheep', [1816, 511, 1843, 569])]",,,,0
320,dog,"[(5, 'sheep', [1818, 512, 1845, 568])]",,,,0
321,dog,"[(5, 'sheep', [1820, 512, 1846, 564])]",,,,0
322,dog,"[(5, 'sheep', [1820, 512, 1848, 569])]",,,,0
323,dog,[],,,,
324,dog,[],,,,
325,dog,[],,,,
326,dog,"[(5, 'sheep', [1822, 511, 1853, 573])]",,,,0
327,dog,"[(5, 'sheep', [1824, 512, 1855, 574])]",,,,0
328,dog,"[(5, 'sheep', [1823, 513, 1856, 576])]",,,,0
329,dog,"[(5, 'sheep', [1822, 516, 1858, 576])]",,,,0
330,dog,[],,,,
331,dog,[],,,,
332,dog,[],,,,
333,dog,[],,,,
334,dog,[],,,,
335,dog,[],,,,
336,dog,"[(5, 'sheep', [1826, 521, 1870, 581])]",,,,0
337,dog,[],,,,
338,dog,[],,,,
339,dog,[],,,,
340,dog,[],,,,
341,dog,[],,,,
342,dog,[],,,,
343,dog,[],,,,
344,dog,[],,,,
345,dog,[],,,,
346,dog,[],,,,
347,dog,[],,,,
348,dog,[],,,,
349,dog,[],,,,
350,dog,[],,,,
351,dog,[],,,,
352,dog,[],,,,
353,dog,[],,,,
354,dog,[],,,,
355,dog,[],,,,
356,dog,[],,,,
357,dog,[],,,,
358,dog,[],,,,
359,dog,[],,,,
360,dog,[],,,,
361,dog,[],,,,
362,dog,[],,,,
363,dog,[],,,,
364,dog,[],,,,
365,dog,[],,,,
366,dog,[],,,,
367,dog,[],,,,
368,dog,[],,,,
369,dog,[],,,,
370,dog,[],,,,
371,dog,[],,,,
372,dog,[],,,,
373,dog,[],,,,
374,dog,[],,,,
375,dog,[],,,,
376,dog,[],,,,
377,dog,[],,,,
378,dog,[],,,,
379,dog,[],,,,
380,dog,[],,,,
381,dog,[],,,,
382,dog,[],,,,
383,dog,"[(7, 'sheep', [1094, 619, 1149, 650])]",,,,0
384,dog,"[(7, 'sheep', [1095, 622, 1152, 653])]",,,,0
385,dog,"[(7, 'sheep', [1095, 623, 1153, 655])]",,,,0
386,dog,"[(7, 'sheep', [1097, 625, 1157, 656])]",,,,0
387,dog,"[(7, 'sheep', [1101, 628, 1157, 658])]",,,,0
388,dog,"[(7, 'sheep', [1105, 630, 1158, 660])]",,,,0
389,dog,"[(7, 'sheep', [1107, 631, 1160, 662])]",,,,0
390,dog,"[(7, 'sheep', [1108, 634, 1161, 664])]",,,,0
391,dog,"[(7, 'sheep', [1109, 636, 1159, 667])]",,,,0
392,dog,"[(7, 'sheep', [1109, 638, 1163, 669])]",,,,0
393,dog,"[(7, 'sheep', [1109, 641, 1166, 672])]",,,,0
394,dog,"[(7, 'sheep', [1110, 643, 1170, 675])]",,,,0
395,dog,"[(7, 'sheep', [1109, 646, 1175, 678])]",,,,0
396,dog,"[(7, 'sheep', [1109, 648, 1173, 680])]",,,,0
397,dog,"[(7, 'sheep', [1110, 649, 1176, 682])]",,,,0
398,dog,"[(7, 'sheep', [1115, 652, 1176, 684])]",,,,0
399,dog,"[(7, 'sheep', [1119, 655, 1176, 688])]",,,,0
400,dog,"[(7, 'sheep', [1122, 657, 1176, 690])]",,,,0
401,dog,"[(7, 'sheep', [1124, 658, 1179, 695])]",,,,0
402,dog,"[(7, 'sheep', [1125, 662, 1181, 697])]",,,,0
403,dog,"[(7, 'sheep', [1125, 665, 1183, 699])]",,,,0
404,dog,"[(7, 'sheep', [1125, 667, 1184, 701])]",,,,0
405,dog,"[(7, 'sheep', [1125, 669, 1186, 704])]",,,,0
406,dog,"[(7, 'sheep', [1124, 672, 1187, 707])]",,,,0
407,dog,"[(7, 'sheep', [1124, 674, 1189, 710])]",,,,0
408,dog,"[(7, 'sheep', [1126, 677, 1189, 713])]",,,,0
409,dog,"[(7, 'sheep', [1129, 681, 1191, 715])]",,,,0
410,dog,"[(7, 'sheep', [1132, 683, 1192, 718])]",,,,0
411,dog,"[(7, 'sheep', [1136, 686, 1194, 722])]",,,,0
412,dog,"[(7, 'sheep', [1139, 689, 1193, 722])]",,,,0
413,dog,"[(7, 'sheep', [1140, 691, 1193, 724])]",,,,0
414,dog,"[(7, 'sheep', [1141, 694, 1197, 727])]",,,,0
415,dog,"[(7, 'sheep', [1140, 696, 1200, 729])]",,,,0
416,dog,"[(7, 'sheep', [1140, 699, 1201, 732])]",,,,0
417,dog,"[(7, 'sheep', [1140, 701, 1200, 736])]",,,,0
418,dog,"[(7, 'sheep', [1140, 704, 1200, 738])]",,,,0
419,dog,"[(7, 'sheep', [1140, 707, 1201, 741])]",,,,0
420,dog,"[(7, 'sheep', [1142, 711, 1201, 743])]",,,,0
421,dog,"[(7, 'sheep', [1145, 715, 1202, 746])]",,,,0
422,dog,"[(7, 'sheep', [1149, 717, 1203, 749])]",,,,0
423,dog,"[(7, 'sheep', [1151, 719, 1205, 752])]",,,,0
424,dog,"[(7, 'sheep', [1154, 721, 1207, 754])]",,,,0
425,dog,"[(7, 'sheep', [1155, 725, 1209, 757])]",,,,0
426,dog,"[(7, 'sheep', [1155, 727, 1209, 760])]",,,,0
